ADC—Add
14 ib                                   |ADC AL, imm8
NP 0F 52 /r                             |RSQRTPS xmm1, xmm2/m128
VEX.128.0F.WIG 52 /r                    |VRSQRTPS xmm1, xmm2/m128
VEX.256.0F.WIG 52 /r                    |VRSQRTPS ymm1, ymm2/m256
RSQRTSS—Compute
F3 0F 52 /r                             |RSQRTSS xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 52 /r                 |VRSQRTSS xmm1, xmm2, xmm3/m32
RSTORSSP—Restore
F3 0F 01 /5 (mod!=11, /5, memory only)  |RSTORSSP m64
SAL/SAR/SHL/SHR—Shift
D0 /4                                   |SAL r/m8, 1
REX + D0 /4                             |SAL r/m8, 1
D2 /4                                   |SAL r/m8, CL
REX + D2 /4                             |SAL r/m8, CL
C0 /4 ib                                |SAL r/m8, imm8
REX + C0 /4 ib                          |SAL r/m8, imm8
D1 /4                                   |SAL r/m16, 1
D3 /4                                   |SAL r/m16, CL
C1 /4 ib                                |SAL r/m16, imm8
D1 /4                                   |SAL r/m32, 1
REX.W + D1 /4                           |SAL r/m64, 1
D3 /4                                   |SAL r/m32, CL
REX.W + D3 /4                           |SAL r/m64, CL
C1 /4 ib                                |SAL r/m32, imm8
REX.W + C1 /4 ib                        |SAL r/m64, imm8
D0 /7                                   |SAR r/m8, 1
REX + D0 /7                             |SAR r/m8, 1
D2 /7                                   |SAR r/m8, CL
REX + D2 /7                             |SAR r/m8, CL
C0 /7 ib                                |SAR r/m8, imm8
REX + C0 /7 ib                          |SAR r/m8, imm8
D1 /7                                   |SAR r/m16,1
D3 /7                                   |SAR r/m16, CL
C1 /7 ib                                |SAR r/m16, imm8
D1 /7                                   |SAR r/m32, 1
REX.W + D1 /7                           |SAR r/m64, 1
D3 /7                                   |SAR r/m32, CL
REX.W + D3 /7                           |SAR r/m64, CL
C1 /7 ib                                |SAR r/m32, imm8
REX.W + C1 /7 ib                        |SAR r/m64, imm8
D0 /4                                   |SHL r/m8, 1
REX + D0 /4                             |SHL r/m8, 1
D2 /4                                   |SHL r/m8, CL
REX + D2 /4                             |SHL r/m8, CL
C0 /4 ib                                |SHL r/m8, imm8
REX + C0 /4 ib                          |SHL r/m8, imm8
D1 /4                                   |SHL r/m16,1
D3 /4                                   |SHL r/m16, CL
C1 /4 ib                                |SHL r/m16, imm8
D1 /4                                   |SHL r/m32,1
SAL/SAR/SHL/SHR—Shift
REX.W + D1 /4                           |SHL r/m64,1
D3 /4                                   |SHL r/m32, CL
REX.W + D3 /4                           |SHL r/m64, CL
C1 /4 ib                                |SHL r/m32, imm8
REX.W + C1 /4 ib                        |SHL r/m64, imm8
D0 /5                                   |SHR r/m8,1
REX + D0 /5                             |SHR r/m8, 1
D2 /5                                   |SHR r/m8, CL
REX + D2 /5                             |SHR r/m8, CL
C0 /5 ib                                |SHR r/m8, imm8
REX + C0 /5 ib                          |SHR r/m8, imm8
D1 /5                                   |SHR r/m16, 1
D3 /5                                   |SHR r/m16, CL
C1 /5 ib                                |SHR r/m16, imm8
D1 /5                                   |SHR r/m32, 1
REX.W + D1 /5                           |SHR r/m64, 1
D3 /5                                   |SHR r/m32, CL
REX.W + D3 /5                           |SHR r/m64, CL
C1 /5 ib                                |SHR r/m32, imm8
REX.W + C1 /5 ib                        |SHR r/m64, imm8
SARX/SHLX/SHRX—Shift
VEX.LZ.F3.0F38.W0 F7 /r                 |SARX r32a, r/m32, r32b
VEX.LZ.66.0F38.W0 F7 /r                 |SHLX r32a, r/m32, r32b
VEX.LZ.F2.0F38.W0 F7 /r                 |SHRX r32a, r/m32, r32b
VEX.LZ.F3.0F38.W1 F7 /r                 |SARX r64a, r/m64, r64b
VEX.LZ.66.0F38.W1 F7 /r                 |SHLX r64a, r/m64, r64b
VEX.LZ.F2.0F38.W1 F7 /r                 |SHRX r64a, r/m64, r64b
SAVEPREVSSP—Save
F3 0F 01 EA (mod!=11, /5, RM=010)       |SAVEPREVSSP
SBB—Integer
1C ib                                   |SBB AL, imm8
1D iw                                   |SBB AX, imm16
1D id                                   |SBB EAX, imm32
REX.W + 1D id                           |SBB RAX, imm32
80 /3 ib                                |SBB r/m8, imm8
REX + 80 /3 ib                          |SBB r/m8, imm8
81 /3 iw                                |SBB r/m16, imm16
81 /3 id                                |SBB r/m32, imm32
REX.W + 81 /3 id                        |SBB r/m64, imm32
83 /3 ib                                |SBB r/m16, imm8
83 /3 ib                                |SBB r/m32, imm8
REX.W + 83 /3 ib                        |SBB r/m64, imm8
18 /r                                   |SBB r/m8, r8
REX + 18 /r                             |SBB r/m8, r8
19 /r                                   |SBB r/m16, r16
19 /r                                   |SBB r/m32, r32
REX.W + 19 /r                           |SBB r/m64, r64
1A /r                                   |SBB r8, r/m8
REX + 1A /r                             |SBB r8, r/m8
1B /r                                   |SBB r16, r/m16
1B /r                                   |SBB r32, r/m32
REX.W + 1B /r                           |SBB r64, r/m64
SCAS/SCASB/SCASW/SCASD—Scan
AE                                      |SCAS m8
AF                                      |SCAS m16
AF                                      |SCAS m32
REX.W + AF                              |SCAS m64
AE                                      |SCASB
AF                                      |SCASW
AF                                      |SCASD
REX.W + AF                              |SCASQ
SENDUIPI—Send
F3 0F C7 /6                             |SENDUIPI reg
SERIALIZE—Serialize
NP 0F 01 E8                             |SERIALIZE
SETcc—Set
0F 97                                   |SETA r/m8
REX + 0F 97                             |SETA r/m8
0F 93                                   |SETAE r/m8
REX + 0F 93                             |SETAE r/m8
0F 92                                   |SETB r/m8
REX + 0F 92                             |SETB r/m8
0F 96                                   |SETBE r/m8
REX + 0F 96                             |SETBE r/m8
0F 92                                   |SETC r/m8
REX + 0F 92                             |SETC r/m8
0F 94                                   |SETE r/m8
REX + 0F 94                             |SETE r/m8
0F 9F                                   |SETG r/m8
REX + 0F 9F                             |SETG r/m8
0F 9D                                   |SETGE r/m8
REX + 0F 9D                             |SETGE r/m8
0F 9C                                   |SETL r/m8
REX + 0F 9C                             |SETL r/m8
0F 9E                                   |SETLE r/m8
REX + 0F 9E                             |SETLE r/m8
0F 96                                   |SETNA r/m8
REX + 0F 96                             |SETNA r/m8
0F 92                                   |SETNAE r/m8
REX + 0F 92                             |SETNAE r/m8
0F 93                                   |SETNB r/m8
REX + 0F 93                             |SETNB r/m8
0F 97                                   |SETNBE r/m8
REX + 0F 97                             |SETNBE r/m8
0F 93                                   |SETNC r/m8
REX + 0F 93                             |SETNC r/m8
0F 95                                   |SETNE r/m8
REX + 0F 95                             |SETNE r/m8
0F 9E                                   |SETNG r/m8
REX + 0F 9E                             |SETNG r/m8
0F 9C                                   |SETNGE r/m8
REX + 0F 9C                             |SETNGE r/m8
0F 9D                                   |SETNL r/m8
REX + 0F 9D                             |SETNL r/m8
0F 9F                                   |SETNLE r/m8
REX + 0F 9F                             |SETNLE r/m8
SETcc—Set
0F 91                                   |SETNO r/m8
REX + 0F 91                             |SETNO r/m8
0F 9B                                   |SETNP r/m8
REX + 0F 9B                             |SETNP r/m8
0F 99                                   |SETNS r/m8
REX + 0F 99                             |SETNS r/m8
0F 95                                   |SETNZ r/m8
REX + 0F 95                             |SETNZ r/m8
0F 90                                   |SETO r/m8
REX + 0F 90                             |SETO r/m8
0F 9A                                   |SETP r/m8
REX + 0F 9A                             |SETP r/m8
0F 9A                                   |SETPE r/m8
REX + 0F 9A                             |SETPE r/m8
0F 9B                                   |SETPO r/m8
REX + 0F 9B                             |SETPO r/m8
0F 98                                   |SETS r/m8
REX + 0F 98                             |SETS r/m8
0F 94                                   |SETZ r/m8
REX + 0F 94                             |SETZ r/m8
SETSSBSY—Mark
F3 0F 01 E8                             |SETSSBSY
SFENCE—Store
NP 0F AE F8                             |SFENCE
SGDT—Store
0F 01 /0                                |SGDT m
SHA1RNDS4—Perform
NP 0F 3A CC /r ib                       |SHA1RNDS4 xmm1,xmm2/m128, imm8
SHA1NEXTE—Calculate
NP 0F 38 C8 /r                          |SHA1NEXTE xmm1,xmm2/m128
SHA1MSG1—Perform
NP 0F 38 C9 /r                          |SHA1MSG1 xmm1,xmm2/m128
SHA1MSG2—Perform
NP 0F 38 CA /r                          |SHA1MSG2 xmm1,xmm2/m128
SHA256RNDS2—Perform
NP 0F 38 CB /r                          |SHA256RNDS2 xmm1,xmm2/m128, <XMM0>
SHA256MSG1—Perform
NP 0F 38 CC /r                          |SHA256MSG1 xmm1,xmm2/m128
SHA256MSG2—Perform
NP 0F 38 CD /r                          |SHA256MSG2 xmm1,xmm2/m128
SHLD—Double
0F A4 /r ib                             |SHLD r/m16, r16, imm8
0F A5 /r                                |SHLD r/m16, r16, CL
0F A4 /r ib                             |SHLD r/m32, r32, imm8
REX.W + 0F A4 /r ib                     |SHLD r/m64, r64, imm8
0F A5 /r                                |SHLD r/m32, r32, CL
REX.W + 0F A5 /r                        |SHLD r/m64, r64, CL
SHRD—Double
0F AC /r ib                             |SHRD r/m16, r16, imm8
0F AD /r                                |SHRD r/m16, r16, CL
0F AC /r ib                             |SHRD r/m32, r32, imm8
REX.W + 0F AC /r ib                     |SHRD r/m64, r64, imm8
0F AD /r                                |SHRD r/m32, r32, CL
REX.W + 0F AD /r                        |SHRD r/m64, r64, CL
SHUFPD—Packed
66 0F C6 /r ib                          |SHUFPD xmm1, xmm2/m128, imm8
VEX.128.66.0F.WIG C6 /r ib              |VSHUFPD xmm1, xmm2, xmm3/m128,imm8
VEX.256.66.0F.WIG C6 /r ib              |VSHUFPD ymm1, ymm2, ymm3/m256,imm8
SHUFPS—Packed
NP 0F C6 /r ib                          |SHUFPS xmm1, xmm3/m128, imm8
VEX.128.0F.WIG C6 /r ib                 |VSHUFPS xmm1, xmm2, xmm3/m128,imm8
VEX.256.0F.WIG C6 /r ib                 |VSHUFPS ymm1, ymm2, ymm3/m256,imm8
SIDT—Store
0F 01 /1                                |SIDT m
SLDT—Store
0F 00 /0                                |SLDT r/m16
SMSW—Store
0F 01 /4                                |SMSW r/m16
0F 01 /4                                |SMSW r32/m16
REX.W + 0F 01 /4                        |SMSW r64/m16
SQRTPD—Square
66 0F 51 /r                             |SQRTPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 51 /r                 |VSQRTPD xmm1, xmm2/m128
VEX.256.66.0F.WIG 51 /r                 |VSQRTPD ymm1, ymm2/m256
SQRTPS—Square
NP 0F 51 /r                             |SQRTPS xmm1, xmm2/m128
VEX.128.0F.WIG 51 /r                    |VSQRTPS xmm1, xmm2/m128
VEX.256.0F.WIG 51/r                     |VSQRTPS ymm1, ymm2/m256
SQRTSD—Compute
F2 0F 51/r                              |SQRTSD xmm1,xmm2/m64
VEX.LIG.F2.0F.WIG 51/r                  |VSQRTSD xmm1,xmm2, xmm3/m64
SQRTSS—Compute
F3 0F 51 /r                             |SQRTSS xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 51 /r                 |VSQRTSS xmm1, xmm2,xmm3/m32
STAC—Set
NP 0F 01 CB                             |STAC
STC—Set
F9                                      |STC
STD—Set
FD                                      |STD
STI—Set
FB                                      |STI
STMXCSR—Store
NP 0F AE /3                             |STMXCSR m32
VEX.LZ.0F.WIG AE /3                     |VSTMXCSR m32
STOS/STOSB/STOSW/STOSD/STOSQ—Store
AA                                      |STOS m8
AB                                      |STOS m16
AB                                      |STOS m32
REX.W + AB                              |STOS m64
AA                                      |STOSB
AB                                      |STOSW
AB                                      |STOSD
REX.W + AB                              |STOSQ
STR—Store
0F 00 /1                                |STR r/m16
STTILECFG—Store
VEX.128.66.0F38.W0 49 !(11):000:bbb     |STTILECFG m512
STUI—Set
F3 0F 01 EF                             |STUI
SUB—Subtract
2C ib                                   |SUB AL, imm8
2D iw                                   |SUB AX, imm16
2D id                                   |SUB EAX, imm32
REX.W + 2D id                           |SUB RAX, imm32
80 /5 ib                                |SUB r/m8, imm8
REX + 80 /5 ib                          |SUB r/m8, imm8
81 /5 iw                                |SUB r/m16, imm16
81 /5 id                                |SUB r/m32, imm32
REX.W + 81 /5 id                        |SUB r/m64, imm32
83 /5 ib                                |SUB r/m16, imm8
83 /5 ib                                |SUB r/m32, imm8
REX.W + 83 /5 ib                        |SUB r/m64, imm8
28 /r                                   |SUB r/m8, r8
REX + 28 /r                             |SUB r/m8, r8
29 /r                                   |SUB r/m16, r16
29 /r                                   |SUB r/m32, r32
REX.W + 29 /r                           |SUB r/m64, r64
2A /r                                   |SUB r8, r/m8
REX + 2A /r                             |SUB r8, r/m8
2B /r                                   |SUB r16, r/m16
2B /r                                   |SUB r32, r/m32
REX.W + 2B /r                           |SUB r64, r/m64
SUBPD—Subtract
66 0F 5C /r                             |SUBPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 5C /r                 |VSUBPD xmm1,xmm2, xmm3/m128
VEX.256.66.0F.WIG 5C /r                 |VSUBPD ymm1, ymm2, ymm3/m256
SUBPS—Subtract
NP 0F 5C /r                             |SUBPS xmm1, xmm2/m128
VEX.128.0F.WIG 5C /r                    |VSUBPS xmm1,xmm2, xmm3/m128
VEX.256.0F.WIG 5C /r                    |VSUBPS ymm1, ymm2, ymm3/m256
SUBSD—Subtract
F2 0F 5C /r                             |SUBSD xmm1, xmm2/m64
VEX.LIG.F2.0F.WIG 5C /r                 |VSUBSD xmm1,xmm2, xmm3/m64
SUBSS—Subtract
F3 0F 5C /r                             |SUBSS xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 5C /r                 |VSUBSS xmm1,xmm2, xmm3/m32
SWAPGS—Swap
0F 01 F8                                |SWAPGS
SYSCALL—Fast
0F 05                                   |SYSCALL
SYSENTER—Fast
0F 34                                   |SYSENTER
SYSEXIT—Fast
0F 35                                   |SYSEXIT
REX.W + 0F 35                           |SYSEXIT
SYSRET—Return
0F 07                                   |SYSRET
REX.W + 0F 07                           |SYSRET
TDPBF16PS—Dot
VEX.128.F3.0F38.W0 5C 11:rrr:bbb        |TDPBF16PS tmm1, tmm2, tmm3
TDPBSSD/TDPBSUD/TDPBUSD/TDPBUUD—Dot
VEX.128.F2.0F38.W0 5E 11:rrr:bbb        |TDPBSSD tmm1, tmm2, tmm3
VEX.128.F3.0F38.W0 5E 11:rrr:bbb        |TDPBSUD tmm1, tmm2, tmm3
VEX.128.66.0F38.W0 5E 11:rrr:bbb        |TDPBUSD tmm1, tmm2, tmm3
VEX.128.NP.0F38.W0 5E 11:rrr:bbb        |TDPBUUD tmm1, tmm2, tmm3
TEST—Logical
A8 ib                                   |TEST AL, imm8
A9 iw                                   |TEST AX, imm16
A9 id                                   |TEST EAX, imm32
REX.W + A9 id                           |TEST RAX, imm32
F6 /0 ib                                |TEST r/m8, imm8
REX + F6 /0 ib                          |TEST r/m8, imm8
F7 /0 iw                                |TEST r/m16, imm16
F7 /0 id                                |TEST r/m32, imm32
REX.W + F7 /0 id                        |TEST r/m64, imm32
84 /r                                   |TEST r/m8, r8
REX + 84 /r                             |TEST r/m8, r8
85 /r                                   |TEST r/m16, r16
85 /r                                   |TEST r/m32, r32
REX.W + 85 /r                           |TEST r/m64, r64
TESTUI—Determine
F3 0F 01 ED                             |TESTUI
TILELOADD/TILELOADDT1—Load
VEX.128.F2.0F38.W0 4B !(11):rrr:100     |TILELOADD tmm1, sibmem
VEX.128.66.0F38.W0 4B !(11):rrr:100     |TILELOADDT1 tmm1, sibmem
TILERELEASE—Release
VEX.128.NP.0F38.W0 49 C0                |TILERELEASE
TILESTORED—Store
VEX.128.F3.0F38.W0 4B !(11):rrr:100     |TILESTORED sibmem, tmm1
TILEZERO—Zero
VEX.128.F2.0F38.W0 49 11:rrr:000        |TILEZERO tmm1
TPAUSE—Timed
66 0F AE /6                             |TPAUSE r32, <edx>, <eax>
TZCNT—Count
F3 0F BC /r                             |TZCNT r16, r/m16
F3 0F BC /r                             |TZCNT r32, r/m32
F3 REX.W 0F BC /r                       |TZCNT r64, r/m64
UCOMISD—Unordered
66 0F 2E /r                             |UCOMISD xmm1, xmm2/m64
VEX.LIG.66.0F.WIG 2E /r                 |VUCOMISD xmm1, xmm2/m64
UCOMISS—Unordered
NP 0F 2E /r                             |UCOMISS xmm1, xmm2/m32
VEX.LIG.0F.WIG 2E /r                    |VUCOMISS xmm1, xmm2/m32
UD—Undefined
0F FF /r                                |UD01 r32, r/m32
0F B9 /r                                |UD1 r32, r/m32
0F 0B                                   |UD2
UIRET—User-Interrupt
F3 0F 01 EC                             |UIRET
UMONITOR—User
F3 0F AE /6                             |UMONITOR r16/r32/r64
UMWAIT—User
F2 0F AE /6                             |UMWAIT r32, <edx>, <eax>
UNPCKHPD—Unpack
66 0F 15 /r                             |UNPCKHPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 15 /r                 |VUNPCKHPD xmm1,xmm2,xmm3/m128
VEX.256.66.0F.WIG 15 /r                 |VUNPCKHPD ymm1,ymm2,ymm3/m256
UNPCKHPS—Unpack
NP 0F 15 /r                             |UNPCKHPS xmm1, xmm2/m128
VEX.128.0F.WIG 15 /r                    |VUNPCKHPS xmm1, xmm2,xmm3/m128
VEX.256.0F.WIG 15 /r                    |VUNPCKHPS ymm1, ymm2,ymm3/m256
UNPCKLPD—Unpack
66 0F 14 /r                             |UNPCKLPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 14 /r                 |VUNPCKLPD xmm1,xmm2,xmm3/m128
VEX.256.66.0F.WIG 14 /r                 |VUNPCKLPD ymm1,ymm2,ymm3/m256
UNPCKLPS—Unpack
NP 0F 14 /r                             |UNPCKLPS xmm1, xmm2/m128
VEX.128.0F.WIG 14 /r                    |VUNPCKLPS xmm1,xmm2,xmm3/m128
VEX.256.0F.WIG 14 /r                    |VUNPCKLPSymm1,ymm2,ymm3/m256
VBROADCAST—Load
VEX.128.66.0F38.W0 18 /r                |VBROADCASTSS xmm1, m32
VEX.256.66.0F38.W0 18 /r                |VBROADCASTSS ymm1, m32
VEX.256.66.0F38.W0 19 /r                |VBROADCASTSD ymm1, m64
VEX.256.66.0F38.W0 1A /r                |VBROADCASTF128 ymm1, m128
VEX.128.66.0F38.W0 18/r                 |VBROADCASTSS xmm1, xmm2
VEX.256.66.0F38.W0 18 /r                |VBROADCASTSS ymm1, xmm2
VEX.256.66.0F38.W0 19 /r                |VBROADCASTSD ymm1, xmm2
VCVTPH2PS/VCVTPH2PSX—Convert
VEX.128.66.0F38.W0 13 /r                |VCVTPH2PS xmm1, xmm2/m64
VEX.256.66.0F38.W0 13 /r                |VCVTPH2PS ymm1, xmm2/m128
VCVTPS2PH—Convert
VEX.128.66.0F3A.W0 1D /r ib             |VCVTPS2PH xmm1/m64, xmm2,imm8
VEX.256.66.0F3A.W0 1D /r ib             |VCVTPS2PH xmm1/m128, ymm2,imm8
VERR/VERW—Verify
0F 00 /4                                |VERR r/m16
0F 00 /5                                |VERW r/m16
VEXTRACTF128/VEXTRACTF32x4/VEXTRACTF64x2/VEXTRACTF32x8/VEXTRACTF64x4—
VEX.256.66.0F3A.W0 19 /r ib             |VEXTRACTF128 xmm1/m128, ymm2,imm8
VEXTRACTI128/VEXTRACTI32x4/VEXTRACTI64x2/VEXTRACTI32x8/VEXTRACTI64x4—Extract
VEX.256.66.0F3A.W0 39 /r ib             |VEXTRACTI128 xmm1/m128, ymm2,imm8
VFMADD132PD/VFMADD213PD/VFMADD231PD—Fused
VEX.128.66.0F38.W1 98 /r                |VFMADD132PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 A8 /r                |VFMADD213PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 B8 /r                |VFMADD231PD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W1 98 /r                |VFMADD132PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 A8 /r                |VFMADD213PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 B8 /r                |VFMADD231PD ymm1, ymm2,ymm3/m256
VFMADD132PS/VFMADD213PS/VFMADD231PS—Fused
VEX.128.66.0F38.W0 98 /r                |VFMADD132PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 A8 /r                |VFMADD213PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 B8 /r                |VFMADD231PS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 98 /r                |VFMADD132PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 A8 /r                |VFMADD213PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.0 B8 /r                 |VFMADD231PS ymm1, ymm2,ymm3/m256
VFMADD132SD/VFMADD213SD/VFMADD231SD—Fused
VEX.LIG.66.0F38.W1 99 /r                |VFMADD132SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 A9 /r                |VFMADD213SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 B9 /r                |VFMADD231SD xmm1, xmm2,xmm3/m64
VFMADD132SS/VFMADD213SS/VFMADD231SS—Fused
VEX.LIG.66.0F38.W0 99 /r                |VFMADD132SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 A9 /r                |VFMADD213SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 B9 /r                |VFMADD231SS xmm1, xmm2,xmm3/m32
VFMADDSUB132PD/VFMADDSUB213PD/VFMADDSUB231PD—Fused
VEX.128.66.0F38.W1 96 /r                |VFMADDSUB132PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 A6 /r                |VFMADDSUB213PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 B6 /r                |VFMADDSUB231PD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W1 96 /r                |VFMADDSUB132PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 A6 /r                |VFMADDSUB213PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 B6 /r                |VFMADDSUB231PD ymm1, ymm2,ymm3/m256
VFMADDSUB132PS/VFMADDSUB213PS/VFMADDSUB231PS—Fused
VEX.128.66.0F38.W0 96 /r                |VFMADDSUB132PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 A6 /r                |VFMADDSUB213PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 B6 /r                |VFMADDSUB231PS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 96 /r                |VFMADDSUB132PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 A6 /r                |VFMADDSUB213PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 B6 /r                |VFMADDSUB231PS ymm1, ymm2,ymm3/m256
VFMSUB132PD/VFMSUB213PD/VFMSUB231PD—Fused
VEX.128.66.0F38.W1 9A /r                |VFMSUB132PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 AA /r                |VFMSUB213PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 BA /r                |VFMSUB231PD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W1 9A /r                |VFMSUB132PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 AA /r                |VFMSUB213PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 BA /r                |VFMSUB231PD ymm1, ymm2,ymm3/m256
VFMSUB132PS/VFMSUB213PS/VFMSUB231PS—Fused
VEX.128.66.0F38.W0 9A /r                |VFMSUB132PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 AA /r                |VFMSUB213PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 BA /r                |VFMSUB231PS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 9A /r                |VFMSUB132PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 AA /r                |VFMSUB213PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.0 BA /r                 |VFMSUB231PS ymm1, ymm2,ymm3/m256
VFMSUB132SD/VFMSUB213SD/VFMSUB231SD—Fused
VEX.LIG.66.0F38.W1 9B /r                |VFMSUB132SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 AB /r                |VFMSUB213SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 BB /r                |VFMSUB231SD xmm1, xmm2,xmm3/m64
VFMSUB132SS/VFMSUB213SS/VFMSUB231SS—Fused
VEX.LIG.66.0F38.W0 9B /r                |VFMSUB132SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 AB /r                |VFMSUB213SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 BB /r                |VFMSUB231SS xmm1, xmm2,xmm3/m32
VFMSUBADD132PD/VFMSUBADD213PD/VFMSUBADD231PD—Fused
VEX.128.66.0F38.W1 97 /r                |VFMSUBADD132PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 A7 /r                |VFMSUBADD213PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 B7 /r                |VFMSUBADD231PD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W1 97 /r                |VFMSUBADD132PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 A7 /r                |VFMSUBADD213PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 B7 /r                |VFMSUBADD231PD ymm1, ymm2,ymm3/m256
VFMSUBADD132PS/VFMSUBADD213PS/VFMSUBADD231PS—Fused
VEX.128.66.0F38.W0 97 /r                |VFMSUBADD132PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 A7 /r                |VFMSUBADD213PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 B7 /r                |VFMSUBADD231PS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 97 /r                |VFMSUBADD132PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 A7 /r                |VFMSUBADD213PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 B7 /r                |VFMSUBADD231PS ymm1, ymm2,ymm3/m256
VFNMADD132PD/VFNMADD213PD/VFNMADD231PD—Fused
VEX.128.66.0F38.W1 9C /r                |VFNMADD132PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 AC /r                |VFNMADD213PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 BC /r                |VFNMADD231PD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W1 9C /r                |VFNMADD132PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 AC /r                |VFNMADD213PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 BC /r                |VFNMADD231PD ymm1, ymm2,ymm3/m256
VFNMADD132PS/VFNMADD213PS/VFNMADD231PS—Fused
VEX.128.66.0F38.W0 9C /r                |VFNMADD132PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 AC /r                |VFNMADD213PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 BC /r                |VFNMADD231PS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 9C /r                |VFNMADD132PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 AC /r                |VFNMADD213PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.0 BC /r                 |VFNMADD231PS ymm1, ymm2,ymm3/m256
VFNMADD132SD/VFNMADD213SD/VFNMADD231SD—Fused
VEX.LIG.66.0F38.W1 9D /r                |VFNMADD132SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 AD /r                |VFNMADD213SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 BD /r                |VFNMADD231SD xmm1, xmm2,xmm3/m64
VFNMADD132SS/VFNMADD213SS/VFNMADD231SS—Fused
VEX.LIG.66.0F38.W0 9D /r                |VFNMADD132SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 AD /r                |VFNMADD213SS xmm1, xmm2,xmm3/m32
